# schema	kj.music.inventory/1
# root	J:\jubilujah.com\music\children\party-giggles
# albums	30
# tracks	379
# bytes	1406776400
# albums_with_duplicate_track_numbers	2
# duplicate	IX429EN-fireflies-flourish-bright	1,2,3,4,5,6,7,8,9,10,11,12
# duplicate	IX430EN-nala-the-donkey	4,5,6,8,9
album	track	file	bytes	sha256
IX410EN-hard-hydes-stomp	12	12_ride-it-out-sheriff-shout.mp3	3380153	a03b3e75e5616ae38b5f44be3a062f43853e90009a9bc916ab154e1bc7a906ad
IX410EN-hard-hydes-stomp	13	13_the-chicken-rodeo.mp3	3730269	dc08127775566cbb9916f74f9053e8108a45f03fa95e440ae6cd84245847ab59
IX410EN-hard-hydes-stomp	14	14_deputy-bark-and-the-barkin-orders.mp3	3139063	990fe96da5fbdf4c82e338ed5458d640c9771e4424e911b0e7489e578d2b4cfc
IX411EN-monkey-s-banana-bash	1	01_monkeys-banana-bash.mp3	4079355	5feacea4c39e1332a1a9daec8e4c400e810e83bc99b7a3c6d7c6e525f14dbd6a
IX411EN-monkey-s-banana-bash	2	02_jump-for-jesus.mp3	3577265	dfe1592a170d0f203708b56279b32ab3ebb86834b2aa183b9ee776d174676cd3
IX411EN-monkey-s-banana-bash	3	03_swing-when-he-says-swing.mp3	4168789	5e31876ca8de0942def3b30e1d03f4ea2b861cb657922f984c8f34445ee88771
IX411EN-monkey-s-banana-bash	4	04_banana-blessings.mp3	4122357	0c0f49950b7102402438fe901ce656c228dd49f56fc056e246043322c47a74af
IX411EN-monkey-s-banana-bash	5	05_tickle-the-tambourine.mp3	4851029	a7c539c50fc33b54678fa75608104820151a322ba0b85aeb0e2066b9c40bd89f
IX411EN-monkey-s-banana-bash	6	06_monkey-see-monkey-pray.mp3	4105713	2a8d38ce9fb80e51f111cfe2a80df3e74e5f62ce67c08612e8c75b788ea3f1a2
IX411EN-monkey-s-banana-bash	7	07_momos-mighty-praise.mp3	4128795	16b6c94804c66466e79d881394088e2ba6c29c9ade6910d726b14ccdc3c242fc
IX411EN-monkey-s-banana-bash	8	08_banana-beat-parade.mp3	3398831	77735b94da839e7c1a8e5193bb2251654b0f581f3dede47fbf4765fe38c6505c
IX411EN-monkey-s-banana-bash	9	09_too-loud-for-lies.mp3	4514423	b80097044a9b65a421d258c8c5ae7b9b066c3389bab6221f567cab80c350e07d
IX411EN-monkey-s-banana-bash	10	10_monkey-mess-gods-best.mp3	3823113	6f4cb111031b87e6781297b444813eb8f0a82b57562487efcfb599fc8a7101e8
IX411EN-monkey-s-banana-bash	11	11_dont-slip-on-that-banana.mp3	5129895	a21dc2e73dfffde492a7aed405c92e7e8a338ab70a29aa5055dfa44e1b4ca109
IX411EN-monkey-s-banana-bash	12	12_the-last-banana-blessing.mp3	4253027	93cc0cbd1227afcca479f271168bd952b6ca5db0bb7ebb12bb2c649ae6cf8892
IX412EN-jammin-jungle-king	1	01_zion-lujah-anthem.mp3	3627525	7aadace19c887003423e6d24748deae9229a934d6bb6be565e016b7e49c14e13
IX412EN-jammin-jungle-king	2	02_im-built-to-reign.mp3	3004295	94a0701e73603ec18fbade80d9d2b117a8d534bdca6d7b1f9f94ed12c6d7f2ef
IX412EN-jammin-jungle-king	3	03_stand-tall-roar-loud.mp3	3640639	1266dd2b09af71520db8b8c3f9e925161131c0a2dd797c0cac11c763883042e3
IX412EN-jammin-jungle-king	4	04_bounce-that-faith.mp3	2725125	82a18757d6151c49ab882fcd1d8dadcdf4066593a31a27e2d8aba2db14c2c90b
IX412EN-jammin-jungle-king	5	05_roar-remix-revival.mp3	2256671	727351514ab8ce4dc66b3939737ad673670d8a57b9178b1123a84ff0c16cedfa
IX412EN-jammin-jungle-king	6	06_bounce-it-like-a-king.mp3	3037661	f7b7c2a69184c81b88b64a013fa4a391973328d2c9009ca0ddab77b65303bc63
IX412EN-jammin-jungle-king	7	07_crown-on-sideways.mp3	2955837	b369ff8f135a75b8fde0d568d1b31ba5d8c1a0a8f92a60dd1f5ad40ac510309e
IX412EN-jammin-jungle-king	8	08_tail-drums-thunder-feet.mp3	2681677	4e7f51cfdb64e31a7cfc34a1b02e0d6b20fdfbef51684bacf76d2de42d9980ea
IX412EN-jammin-jungle-king	9	09_roars-beyond-time.mp3	4246941	7fe924fdbb42be6cc1a40c99bfd6e38e446e50d3c5c1849d479736d996588ae1
IX412EN-jammin-jungle-king	10	10_lion-the-lamb-bbq-jam.mp3	4365681	64fb26a33b3364b0c8098a34be73065e8ee10ff611b33e719e6dd11a00bf4e35
IX412EN-jammin-jungle-king	11	11_mane-thing-im-made-for.mp3	3710961	00ed555dc9097e2427d83434862e9bb9329bfa0541efc8f7e0adf0edcfb2e60b
IX412EN-jammin-jungle-king	12	12_holy-banana-boogie.mp3	3705937	fc8af4f754164ca3d33db0fdccaecb9a115b8da76b7fd14181ddd73d534e6740
